Horodate;
01/01/2023 00:00;3583
01/01/2023 00:15;3167
01/01/2023 00:30;3500
01/01/2023 00:45;3583
01/01/2023 01:00;3417
01/01/2023 01:15;3667
01/01/2023 01:30;3583
01/01/2023 01:45;3167
01/01/2023 02:00;3083
01/01/2023 02:15;3167
01/01/2023 02:30;3583
01/01/2023 02:45;3250
01/01/2023 03:00;3250
01/01/2023 03:15;3250
01/01/2023 03:30;3583
01/01/2023 03:45;3250
01/01/2023 04:00;3250
01/01/2023 04:15;3333
01/01/2023 04:30;3417
01/01/2023 04:45;3250
01/01/2023 05:00;3250
01/01/2023 05:15;3250
01/01/2023 05:30;3417
01/01/2023 05:45;3250
01/01/2023 06:00;3250
01/01/2023 06:15;3250
01/01/2023 06:30;3250
01/01/2023 06:45;3250
01/01/2023 07:00;3250
01/01/2023 07:15;3250
01/01/2023 07:30;3250
01/01/2023 07:45;3500
01/01/2023 08:00;3500
01/01/2023 08:15;3417
01/01/2023 08:30;3250
01/01/2023 08:45;2917
01/01/2023 09:00;2917
01/01/2023 09:15;3250
01/01/2023 09:30;3000
01/01/2023 09:45;3000
01/01/2023 10:00;3250
01/01/2023 10:15;3167
01/01/2023 10:30;3667
01/01/2023 10:45;3000
01/01/2023 11:00;3917
01/01/2023 11:15;3667
01/01/2023 11:30;3750
01/01/2023 11:45;3833
01/01/2023 12:00;3250
01/01/2023 12:15;3500
01/01/2023 12:30;3500
01/01/2023 12:45;3333
01/01/2023 13:00;3083
01/01/2023 13:15;3167
01/01/2023 13:30;3833
01/01/2023 13:45;3333
01/01/2023 14:00;3417
01/01/2023 14:15;3500
01/01/2023 14:30;3500
01/01/2023 14:45;3250
01/01/2023 15:00;3500
01/01/2023 15:15;3333
01/01/2023 15:30;3583
01/01/2023 15:45;3417
01/01/2023 16:00;3667
01/01/2023 16:15;3250
01/01/2023 16:30;2917
01/01/2023 16:45;3000
01/01/2023 17:00;3917
01/01/2023 17:15;4500
01/01/2023 17:30;4167
01/01/2023 17:45;3583
01/01/2023 18:00;3750
01/01/2023 18:15;3417
01/01/2023 18:30;3583
01/01/2023 18:45;3417
01/01/2023 19:00;3833
01/01/2023 19:15;3583
01/01/2023 19:30;3667
01/01/2023 19:45;3667
01/01/2023 20:00;3417
01/01/2023 20:15;3333
01/01/2023 20:30;3417
